Measured Depth[m],Weight on Bit[kkgf],Hookload[kkgf],Surface Torque[kNm],Downhole Weight on Bit,Downhole Torque,rpm,Mud Flow Q in[L/min],Standpipe Pressure[kPa],ROP[m/h]
1902.44259567616,3.875431437559079,128.04202586379435,15.49999989090509,1.1425555007647406,2.4404723069965195,149.72500243333334,3515.37030715702,18472.833175094984,24.714499608239997
1902.4635354361599,3.8704461550178655,128.04667127461266,15.490666560665927,1.142547100906037,2.44047230699652,149.72566907777778,3515.3735270705274,18472.93315405529,24.671499582480003
1902.48447519616,3.865574179850678,128.05120344357584,15.494999905475233,1.142536181089722,2.44047230699652,149.7260024,3515.3653022114536,18474.66646761707,24.628499556719998
1916.31452639808,4.0633425674151145,128.83117188335544,15.498333274289068,1.2345242196163868,2.6259003499300797,150.5041124777778,3517.538488250504,18712.299771583635,24.940000127520005
1916.33608591808,4.063569168051403,128.8309451839368,15.52133329765427,1.22869323534801,2.632838947665658,150.54066794,3517.527647335258,18714.726471642356,25.228000171279998
1916.35752175024,4.063569165027454,128.83094501459564,15.551666642022049,1.2224212090867548,2.638820497437708,150.56233452,3517.515850477301,18714.413178053775,25.51600021504
1916.3784005502398,4.05858388551019,128.83593020944235,15.581777755776383,1.215708140832622,2.64384499924623,150.55111227333333,3517.5128741340254,18715.382107673053,25.804000258800002
1916.39927935024,4.048613329499611,128.84590076847687,15.611666638917269,1.208554030585611,2.647912453091224,150.50700120000002,3517.518718305432,18717.63326050019,26.09200030256
1916.44250550712,4.033657496995716,128.8608566916992,15.641333291444708,1.2009588783457223,2.6517658304180602,150.43000130000001,3517.5333829915203,18721.16663653519,26.380000346320003
1916.46339446712,4.024140151329563,128.8702608509493,15.668222174288895,1.1937828790551481,2.6554051312267393,150.36611242222222,3517.548047677608,18725.122223298567,26.66800039008
1916.48426310712,4.020061292501151,128.87411324622713,15.692333287449825,1.1870260327138888,2.6588303555172605,150.31533456666665,3517.562712363696,18729.500020790318,26.95600043384
1916.5051657932802,4.02142092051048,128.87241387753267,15.713666630927502,1.1806883393219443,2.662041503289624,150.27766773333332,3517.577377049784,18734.300029010443,27.244000477600004
1916.5260344332803,4.021987437220949,128.8716208569523,15.744777756832447,1.1747697988793147,2.6650385745438303,150.24888982222222,3517.590376154592,18734.511142878164,27.532000521359997
1916.5469030732797,4.021760842632559,128.87173418448594,15.785666665164662,1.1692704113860002,2.667821569279879,150.22900083333334,3517.60170967812,18730.133362393484,27.82000056512
1916.5765702326398,4.020741136745307,128.87275386013374,15.836333355924147,1.164190176842,2.67039048749777,150.21800076666665,3517.6113776203683,18721.1666875564,28.10800060888
1916.5974287126403,4.017455389215756,128.87592630028925,15.868000035765741,1.1595371414277573,2.672519359539448,150.19666727777775,3517.6178229152,18716.944461912648,28.326778411946666
1916.61831767264,4.011903600043904,128.88125150495256,15.880666704689451,1.155311305143272,2.674208185404914,150.16500036666667,3517.621045562616,18717.466685462237,28.476333974320003
1916.63918631264,4.004085769229751,128.88872947412364,15.874333362695275,1.1515126679885441,2.6754569650941655,150.12300003333334,3517.621045562616,18722.733358205172,28.556667296
1916.6600549526402,3.9987605796862056,128.89371478690433,15.883222240746331,1.1481412299635734,2.6762656986072058,150.09844423333334,3517.6178229152,18727.988925945574,28.608889499573333
1916.68092359264,3.995928031413267,128.8962074432947,15.90733333884262,1.1451969910683597,2.6766343859440327,150.09133296666667,3517.6113776203683,18733.233388683442,28.633000585040005
1916.70325839176,3.9955881244109346,128.89620744329468,15.94666665698414,1.1426799513029033,2.6765630271046468,150.1016662333333,3517.60170967812,18738.46674641878,28.6290005524
1916.7241270317602,3.9942285014415204,128.89722720462103,15.966777775775329,1.1405901106672047,2.676051622089048,150.09777727777777,3517.5984870307043,18738.67787721696,28.625000519760004
1916.74500583176,3.9918491625050243,128.8992667272736,15.967666695216186,1.1389274691612632,2.6751001708972364,150.0796661,3517.60170967812,18733.86678107798,28.621000487120003
1917.4040554052,4.01462268974536,128.88091245977563,15.917999874999683,1.1387847599828653,2.5719152891452834,149.93266696666666,3517.397380709184,18722.40010516755,26.9986669576
1917.4249443652002,4.023007017110321,128.87252815761025,15.906666532511004,1.1388067764546257,2.5709638379534723,149.90900024444446,3517.384381604376,18724.80010935423,27.014000328
1917.4458231652,4.0326376701505,128.86289752472976,15.89499986971205,1.1388207467459432,2.570452432937874,149.87833346666667,3517.382716023096,18725.000101365567,27.029333698400002
1917.46948853824,4.043514648865897,128.85202056113414,15.882999886602821,1.1388266708568187,2.5703810740984876,149.84066663333334,3517.392383965344,18723.000081201582,27.0446670688
1917.49036733824,4.050879265303691,128.8447692520704,15.868888789495532,1.1388245487872515,2.5707497614353145,149.81355532222221,3517.3988292601766,18721.688961437714,27.0600004392
1917.51123597824,4.054731519463882,128.8411435975385,15.852666578390183,1.1388143805372415,2.5715584949483543,149.79699953333335,3517.402051907592,18721.066742073974,27.0753338096
1917.53357077736,4.055071411346469,128.8411435975385,15.834333253286777,1.1387961661067894,2.572807274637607,149.7909992666667,3517.402051907592,18721.133423110357,27.09066718
1917.55443941736,4.053485178668917,128.84284305191153,15.810333272003675,1.1387699054958946,2.574496100503072,149.78255471111112,3517.400386326312,18720.73342254026,27.106000550399997
1917.57532837736,4.049972821431229,128.84624196065755,15.780666634540875,1.1387355987045575,2.5766249725447503,149.7716658666667,3517.397055163752,18719.866740363683,27.121333920799998
1917.6000874744,4.044534339633403,128.8513403237766,15.745333340898382,1.1386932457327779,2.579193890762641,149.75833273333333,3517.3920584199122,18718.533376580624,27.136667291200002
